# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 7 behind the step; quantity = omega
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,omega
0.29539,1.33503
0.29633,1.32377
0.29727,1.31226
0.29821,1.3007
0.29915,1.28928
0.30009,1.27764
0.30103,1.26604
0.30198,1.25481
0.30292,1.24188
0.30386,1.22869
0.30480,1.21376
0.30574,1.19873
0.30668,1.18339
0.30762,1.16804
0.30856,1.15215
0.30950,1.13629
0.31044,1.12021
0.31138,1.10446
0.31232,1.08867
0.31326,1.0735
0.31421,1.05874
0.31515,1.04415
0.31609,1.03023
0.31703,1.018
0.31797,1.00601
0.31891,0.994436
0.31985,0.981514
0.32079,0.968101
0.32173,0.954739
0.32267,0.941973
0.32361,0.929291
0.32455,0.920712
0.32549,0.912087
0.32643,0.903972
0.32738,0.894678
0.32832,0.884696
0.32926,0.873172
0.33020,0.861214
0.33114,0.848732
0.33208,0.83652
0.33302,0.823227
0.33396,0.810387
0.33490,0.797489
0.33584,0.784953
0.33678,0.772691
0.33772,0.760876
0.33866,0.74886
0.33960,0.736942
0.34055,0.725034
0.34149,0.713558
0.34243,0.701304
0.34337,0.689188
0.34431,0.67726
0.34525,0.665818
0.34619,0.65463
0.34713,0.644006
0.34807,0.633913
0.34901,0.62526
0.34995,0.616711
0.35089,0.609002
0.35183,0.601348
0.35278,0.595973
0.35372,0.589407
0.35466,0.583402
0.35560,0.575935
0.35654,0.567537
0.35748,0.558962
0.35842,0.550383
0.35936,0.54143
0.36030,0.535192
0.36124,0.528287
0.36218,0.521452
0.36312,0.511798
0.36406,0.50179
0.36500,0.491196
0.36595,0.480065
0.36689,0.468442
0.36783,0.456746
0.36877,0.444602
0.36971,0.432427
0.37065,0.420548
0.37159,0.408641
0.37253,0.394857
0.37347,0.380665
0.37441,0.366245
0.37535,0.352011
0.37629,0.337934
0.37723,0.324613
0.37817,0.310971
0.37912,0.297794
0.38006,0.284848
0.38100,0.271929
0.38194,0.259085
0.38288,0.24636
0.38382,0.233801
0.38476,0.221702
0.38570,0.209829
0.38664,0.198476
0.38758,0.18713
0.38852,0.176196
0.38946,0.165034
0.39040,0.155875
0.39135,0.14689
0.39229,0.138476
0.39323,0.128757
0.39417,0.119485
0.39511,0.110147
0.39605,0.103087
0.39699,0.0966757
0.39793,0.0905377
0.39887,0.08417
0.39981,0.078375
0.40075,0.0684404
0.40169,0.0583831
0.40263,0.0474093
0.40357,0.0360618
0.40452,0.0250892
0.40546,0.014168
0.40640,0.00348803
0.40734,-0.00727207
0.40828,-0.0183423
0.40922,-0.0296726
0.41016,-0.0414948
0.41110,-0.053265
0.41204,-0.0653568
0.41298,-0.0768556
0.41392,-0.088696
0.41486,-0.100707
0.41580,-0.112563
0.41675,-0.123968
0.41769,-0.135439
0.41863,-0.146714
0.41957,-0.15771
0.42051,-0.167355
0.42145,-0.177041
0.42239,-0.184984
0.42333,-0.193107
0.42427,-0.200356
0.42521,-0.208697
0.42615,-0.216665
0.42709,-0.225188
0.42803,-0.234092
0.42897,-0.245082
0.42992,-0.255943
0.43086,-0.267474
0.43180,-0.279011
0.43274,-0.289668
0.43368,-0.299181
0.43462,-0.308591
0.43556,-0.3172
0.43650,-0.328706
0.43744,-0.340274
0.43838,-0.352351
0.43932,-0.363962
0.44026,-0.375903
0.44120,-0.388126
0.44214,-0.400305
0.44309,-0.412391
0.44403,-0.424758
0.44497,-0.437233
0.44591,-0.44991
0.44685,-0.462368
0.44779,-0.47484
0.44873,-0.485788
0.44967,-0.496564
0.45061,-0.507113
0.45155,-0.517943
0.45249,-0.528502
0.45343,-0.539859
0.45437,-0.552209
0.45532,-0.564943
0.45626,-0.577764
0.45720,-0.590346
0.45814,-0.600441
0.45908,-0.610496
0.46002,-0.620518
0.46096,-0.630513
0.46190,-0.640487
0.46284,-0.650446
0.46378,-0.660395
0.46472,-0.670341
0.46566,-0.68029
0.46660,-0.690248
0.46754,-0.700221
0.46849,-0.710215
0.46943,-0.720236
0.47037,-0.730289
0.47131,-0.740382
0.47225,-0.75052
0.47319,-0.760709
0.47413,-0.770954
0.47507,-0.781263
0.47601,-0.791641
0.47695,-0.802094
0.47789,-0.812629
0.47883,-0.82325
0.47977,-0.833965
0.48071,-0.844778
0.48166,-0.855697
0.48260,-0.866728
0.48354,-0.877875
0.48448,-0.889146
0.48542,-0.900546
0.48636,-0.912082
0.48730,-0.923759
0.48824,-0.935583
0.48918,-0.947561
0.49012,-0.959698
0.49106,-0.972001
0.49200,-0.984475
0.49294,-0.997126
0.49389,-1.00996
0.49483,-1.02299
